"","Nachname","Vorname","Geburtsjahr","Frau","Partei","Stimmen","Listenplatz","Liste","Gewaehlt","Kanton","Alter","Sitze"
"nr","Haas","Quentin",1991,0,"CSP",1768,1,"1",0,"JU",24,2
"nr1","Maitre-Schindelholz","Suzanne",1956,1,"CSP",1830,2,"1",0,"JU",59,2
"nr2","Fridez","Pierre-Alain",1957,0,"SP",8301,1,"2",1,"JU",58,2
"nr3","Brülhart","Mélanie",1975,1,"SP",3903,2,"2",0,"JU",40,2
"nr4","Iezzi","Fabrice",1991,0,"SP",384,1,"3",0,"JU",24,2
"nr5","Tomaselli","Diego",1987,0,"SP",314,2,"3",0,"JU",28,2
"nr6","Terrier","Christophe",1973,0,"GPS",1248,1,"4",0,"JU",42,2
"nr7","Hennequin","Erica",1951,1,"GPS",1460,2,"4",0,"JU",64,2
"nr8","Gschwind","Jean-Paul",1952,0,"CVP",8728,1,"5",1,"JU",63,2
"nr9","Marti","Karine",1965,1,"CVP",4245,2,"5",0,"JU",50,2
"nr10","Girardin","Anaïs",1991,1,"CVP",1119,1,"6",0,"JU",24,2
"nr11","Wiser","Jessica",1996,1,"CVP",517,2,"6",0,"JU",19,2
"nr12","Voirol","Gabriel",1961,0,"FDP",5163,1,"7",0,"JU",54,2
"nr13","Donzé","Gérard",1949,0,"FDP",2982,2,"7",0,"JU",66,2
"nr14","Favre","Brigitte",1984,1,"SVP",2867,1,"8",0,"JU",31,2
"nr15","Stettler","Thomas",1969,0,"SVP",4119,2,"8",0,"JU",46,2
"nr16","Schouller","Alexis",1988,0,"FDP",386,1,"9",0,"JU",27,2
"nr17","Simon","Thierry",1989,0,"FDP",536,2,"9",0,"JU",26,2
"nr18","Theurillat","Guite",1947,1,"PdA",562,1,"10",0,"JU",68,2
"nr19","Fedele","Pierluigi",1973,0,"PdA",1490,2,"10",0,"JU",42,2
"nr20","Godat","Ivan",1986,0,"GPS",683,1,"11",0,"JU",29,2
"nr21","Rohner","Magali",1977,1,"GPS",595,2,"11",0,"JU",38,2
"nr22","Berthold","Julien",1988,0,"Ü",308,1,"12",0,"JU",27,2
"nr23","Prince","Pascal",1969,0,"Ü",433,2,"12",0,"JU",46,2
"nr178","Mahrer","Anne",1948,1,"GPS",11677,1,"1",0,"GE",67,11
"nr179","Mazzone","Lisa",1988,1,"GPS",12331,2,"1",1,"GE",27,11
"nr210","Bavarel","Christian",1968,0,"GPS",9350,3,"1",0,"GE",47,11
"nr310","Eckert","Pierre",1952,0,"GPS",10114,4,"1",0,"GE",63,11
"nr410","Forster Carbonnier","Sophie",1968,1,"GPS",9956,5,"1",0,"GE",47,11
"nr510","Hartmann","Esther",1970,1,"GPS",8409,6,"1",0,"GE",45,11
"nr610","Lefort","François",1962,0,"GPS",9214,7,"1",0,"GE",53,11
"nr710","Rossiaud","Jean",1960,0,"GPS",8708,8,"1",0,"GE",55,11
"nr810","Barazzone","Guillaume",1982,0,"CVP",27074,1,"2",1,"GE",33,11
"nr910","Blondin","Jacques",1952,0,"CVP",20003,2,"2",0,"GE",63,11
"nr1010","Bocquet (Thonney)","Claude (Claude-Marie)",1962,1,"CVP",19533,3,"2",0,"GE",53,11
"nr1110","Mettan","Guy",1956,0,"CVP",20812,4,"2",0,"GE",59,11
"nr1210","Schmied","Véronique",1952,1,"CVP",18408,5,"2",0,"GE",63,11
"nr1310","Sommaruga","Carlo",1959,0,"SP",24548,1,"3",1,"GE",56,11
"nr1410","Fehlmann Rielle","Laurence",1955,1,"SP",20099,2,"3",1,"GE",60,11
"nr1510","Tornare","Manuel",1951,0,"SP",22037,3,"3",1,"GE",64,11
"nr1610","Schneider Hausser","Lydia",1958,1,"SP",18798,4,"3",0,"GE",57,11
"nr1710","Tanquerel","Thierry",1954,0,"SP",18723,5,"3",0,"GE",61,11
"nr181","Valiquer Grecuccio","Nicole",1960,1,"SP",17745,6,"3",0,"GE",55,11
"nr191","Thévoz","Sylvain",1974,0,"SP",17649,7,"3",0,"GE",41,11
"nr201","Baranova","Olga",1991,1,"SP",16682,8,"3",0,"GE",24,11
"nr211","Deneys","Roger",1963,0,"SP",17560,9,"3",0,"GE",52,11
"nr221","Gavilanes","Amanda",1983,1,"SP",16811,10,"3",0,"GE",32,11
"nr231","Wenger","Thomas",1977,0,"SP",17447,11,"3",0,"GE",38,11
"nr24","Amaudruz","Céline",1979,1,"SVP",20759,1,"4",1,"GE",36,11
"nr25","Nidegger","Yves",1957,0,"SVP",20541,2,"4",1,"GE",58,11
"nr26","Leyvraz","Eric",1946,0,"SVP",16944,3,"4",0,"GE",69,11
"nr27","Lussi","Patrick",1950,0,"SVP",15894,4,"4",0,"GE",65,11
"nr28","Bläsi","Thomas",1971,0,"SVP",16353,5,"4",0,"GE",44,11
"nr29","Ivanov","Christo",1959,0,"SVP",15935,6,"4",0,"GE",56,11
"nr30","Bertinat","Eric",1956,0,"SVP",16107,7,"4",0,"GE",59,11
"nr31","Hulliger","Patrick",1957,0,"SVP",15537,8,"4",0,"GE",58,11
"nr32","Fuhrmann","Marc",1968,0,"SVP",15409,9,"4",0,"GE",47,11
"nr33","Nobs","Howard",1982,0,"SVP",15292,10,"4",0,"GE",33,11
"nr34","Hiltpold","Hugues",1969,0,"FDP",42623,1,"5",1,"GE",46,11
"nr35","Lüscher","Christian",1963,0,"FDP",43441,2,"5",1,"GE",52,11
"nr36","Wavre","Rolin",1963,0,"FDP",37926,3,"5",0,"GE",52,11
"nr37","Genecand","Benoît",1964,0,"FDP",40772,4,"5",1,"GE",51,11
"nr38","Zeder","Silvia",1969,1,"FDP",37085,5,"5",0,"GE",46,11
"nr39","Batou","Jean",1954,0,"Sol",5861,1,"6",0,"GE",61,11
"nr40","Wenger","Saliha (Salika)",1949,1,"Sol",4915,2,"6",0,"GE",66,11
"nr41","Bayenet","Pierre",1976,0,"Sol",4819,3,"6",0,"GE",39,11
"nr42","Ecuyer","Hélène",1953,1,"Sol",3421,4,"6",0,"GE",62,11
"nr43","Cruchon","Pablo",1983,0,"Sol",3619,5,"6",0,"GE",32,11
"nr44","Eniline","Alexander",1990,0,"Sol",3250,6,"6",0,"GE",25,11
"nr45","Schmid","Audrey",1986,1,"Sol",3524,7,"6",0,"GE",29,11
"nr46","Zehfus","Yves",1953,0,"Sol",3134,8,"6",0,"GE",62,11
"nr47","Ecuyer","Annick",1976,0,"Sol",3444,9,"6",0,"GE",39,11
"nr48","Schneeberger","Thibault",1982,0,"Sol",3594,10,"6",0,"GE",33,11
"nr49","Blanchet","Marjorie",1981,1,"Sol",3624,11,"6",0,"GE",34,11
"nr50","Bachmann","Delphine",1988,1,"CVP",1993,1,"7",0,"GE",27,11
"nr51","Buchs","Sophie",1987,1,"CVP",2127,2,"7",0,"GE",28,11
"nr52","Primo Da Silva","Bruno",1995,0,"CVP",1233,3,"7",0,"GE",20,11
"nr53","Fournier","Nicolas",1993,0,"CVP",1509,4,"7",0,"GE",22,11
"nr54","Piccoli","Adriano",1987,0,"CVP",1420,5,"7",0,"GE",28,11
"nr55","Shatri","Diellza",1993,1,"CVP",1381,6,"7",0,"GE",22,11
"nr56","Golay","Roger",1959,0,"MCR",16483,1,"8",1,"GE",56,11
"nr57","Stauffer","Eric",1964,0,"MCR",9015,2,"8",0,"GE",51,11
"nr58","Roch","Ana Belen (Ana)",1973,1,"MCR",6897,3,"8",0,"GE",42,11
"nr59","Dimier","Patrick",1950,0,"MCR",7063,4,"8",0,"GE",65,11
"nr60","Sormanni","Daniel",1950,0,"MCR",7036,5,"8",0,"GE",65,11
"nr61","Seydoux","Laurent",1967,0,"GLP",4657,1,"9",0,"GE",48,11
"nr62","Thorimbert","Denis",1959,0,"GLP",2378,2,"9",0,"GE",56,11
"nr63","Borstcher","Catherine",1957,1,"GLP",2243,3,"9",0,"GE",58,11
"nr64","Peyraud","Alexandre",1972,0,"GLP",2190,4,"9",0,"GE",43,11
"nr65","Gottschall","Christian",1956,0,"GLP",2147,5,"9",0,"GE",59,11
"nr66","Weber","Brigitte",1952,1,"GLP",2115,6,"9",0,"GE",63,11
"nr67","Fontana","Jérôme",1980,0,"GLP",1947,7,"9",0,"GE",35,11
"nr68","Nanzer","Sarah",1991,1,"GLP",1928,8,"9",0,"GE",24,11
"nr69","Senglet","Marc",1992,0,"GLP",2311,9,"9",0,"GE",23,11
"nr70","Ruffieux","Jean-Luc",1960,0,"EDU",395,1,"10",0,"GE",55,11
"nr71","Ruffieux (Guignard)","Sylvie",1960,1,"EDU",324,2,"10",0,"GE",55,11
"nr72","Laurent","René",1956,0,"EDU",316,3,"10",0,"GE",59,11
"nr73","Laurent","Claudine",1961,1,"EDU",321,4,"10",0,"GE",54,11
"nr74","Ruchet","Audrey",1985,1,"SP",612,1,"11",0,"GE",30,11
"nr75","Cornuz","Christian",1959,0,"SP",520,2,"11",0,"GE",56,11
"nr76","Courtens","Gaëlle",1967,1,"SP",705,3,"11",0,"GE",48,11
"nr77","Schwab","Juan Carlos",1952,0,"SP",584,4,"11",0,"GE",63,11
"nr78","Uldry","Claude",1957,0,"SP",721,5,"11",0,"GE",58,11
"nr79","Bongard","David",1969,0,"SP",665,6,"11",0,"GE",46,11
"nr80","Lottaz","Pascal",1985,0,"SP",627,7,"11",0,"GE",30,11
"nr81","Leuenberger","Sylvia",1952,1,"GPS",2120,1,"12",0,"GE",63,11
"nr82","Maulini (Dreyfus)","Gabrielle",1950,1,"GPS",1231,2,"12",0,"GE",65,11
"nr83","Rinaldi","Daniel",1955,0,"GPS",1078,3,"12",0,"GE",60,11
"nr84","Schneider","Max",1947,0,"GPS",1144,4,"12",0,"GE",68,11
"nr85","Vischer","Barbara",1929,1,"GPS",1016,5,"12",0,"GE",86,11
"nr86","Caduff","Johann (Otto)",1941,0,"GPS",821,6,"12",0,"GE",74,11
"nr87","de Weck","Bertrand",1950,0,"GPS",1001,7,"12",0,"GE",65,11
"nr88","Gerdil","Lucienne",1937,1,"GPS",963,8,"12",0,"GE",78,11
"nr89","Hoffmann","Inge",1950,1,"GPS",974,9,"12",0,"GE",65,11
"nr90","Le Comte","Ferdinand",1943,0,"GPS",1191,10,"12",0,"GE",72,11
"nr91","George","André",1947,0,"SVP",733,1,"13",0,"GE",68,11
"nr92","Etienne","Xavier Max",1969,0,"SVP",707,2,"13",0,"GE",46,11
"nr93","Dumas","Jean-Jacques",1953,0,"SVP",700,3,"13",0,"GE",62,11
"nr94","Strasser","Désirée",1974,1,"SVP",718,4,"13",0,"GE",41,11
"nr95","Delessert","Yves",1950,0,"SVP",775,5,"13",0,"GE",65,11
"nr96","Bucher","Denis",1976,0,"GPS",793,1,"14",0,"GE",39,11
"nr97","de Maio","Sara",1992,1,"GPS",813,2,"14",0,"GE",23,11
"nr98","Lemoine","Philippe",1959,0,"GPS",678,3,"14",0,"GE",56,11
"nr99","Loosli","Peter",1958,0,"GPS",874,4,"14",0,"GE",57,11
